product_name,link,overall_rating,price,product_category,product_description
BCAA Energy,https://shopee.com.my/search?keyword=BCAA%20Energy,9.4,19.99,BCAA,BCAA Powder with Natural Energizers Sourced from Green Coffee and Green Tea To Support Focus and Recovery*
Gold Standard 100% Whey,https://shopee.com.my/search?keyword=Gold%20Standard%20100%%20Whey,9.3,57.99,protein,24g of Whey Protein with Amino Acids for Muscle Recovery and Growth*
Pre JYM,https://shopee.com.my/search?keyword=Pre%20JYM,9.1,48.99,preworkout,Pre-Workout Powder Powerhouse Packed with 13-Hand Picked Ingredients to Support Improved Workouts*
Essential AmiN.O. Energy,https://shopee.com.my/search?keyword=Essential%20AmiN.O.%20Energy,9.1,18.99,BCAA,Amino Acid Powder with Caffeine from Natural Sources!
Pro JYM,https://shopee.com.my/search?keyword=Pro%20JYM,9.2,56.98,protein,"24g of Pure, Quality Protein in Every Scoop with No Added Amino Acids or Filler Nutrients"
Platinum 100% Creatine,https://shopee.com.my/search?keyword=Platinum%20100%%20Creatine,9.5,7.55,creatine,5g of Micronized Creatine to Support Lean Muscle and Increase Strength*
Post JYM Active Matrix,https://shopee.com.my/search?keyword=Post%20JYM%20Active%20Matrix,9.5,30.39,protein,"Powerful Cocktail Designed to Help Boost Repair, Maximize Recovery, and Build Muscle*"
ENGN Shred,https://shopee.com.my/search?keyword=ENGN%20Shred,9.3,34.99,preworkout,Advanced Pre-Workout + Weight Management
ENGN,https://shopee.com.my/search?keyword=ENGN,9.1,29.99,preworkout,"Intense Pre-Workout Powder for Increased Energy, Power, & Focus*"
Syntha-6,https://shopee.com.my/search?keyword=Syntha-6,9.2,44.99,protein,"22g of an Ultra-Premium Blended Protein Formula for Use Anytime, Day or Night"
BCAA 5000,https://shopee.com.my/search?keyword=BCAA%205000,9.3,17.99,BCAA,"BCAA Powder with 5g BCAAs, Zero Sugar and Zero Calories to Support Recovery and Endurance*"
AminoLean Energy Formula,https://shopee.com.my/search?keyword=AminoLean%20Energy%20Formula,9.6,19.97,BCAA,Essential Amino Acids Formulated with Caffeine from Natural Sources to Support Building Lean Muscle*
Protein Crisp,https://shopee.com.my/search?keyword=Protein%20Crisp,9.6,19.99,protein,Crispy Protein Bar Provides 20 Grams Of Protein With 4 Grams Of Sugar Per Bar
PRE-KAGED,https://shopee.com.my/search?keyword=PRE-KAGED,9.3,37.99,preworkout,Turn Up Your Workout Intensity and Increase Performance with a Revolutionary Workout Primer*
ISO100,https://shopee.com.my/search?keyword=ISO100,9.4,74.99,protein,Hydrolyzed 100% Whey Protein Isolate
Signature Protein Crunch Bars,https://shopee.com.my/search?keyword=Signature%20Protein%20Crunch%20Bars,9.7,24.99,protein,Contains 20g of Whey Protein in Each Bar to Support Workout Recovery & Lean Muscle Growth*
Signature Creatine Monohydrate,https://shopee.com.my/search?keyword=Signature%20Creatine%20Monohydrate,9.5,9.99,creatine,Performance and Muscle Building*
Xtend,https://shopee.com.my/search?keyword=Xtend,9.2,27.99,BCAA,"Intra-Workout Powder with 7g of BCAAs to Build Muscle, Burn Fat, and Aid Recovery During Workouts*"
NITRAFLEX,https://shopee.com.my/search?keyword=NITRAFLEX,9.1,29.99,preworkout,"Pre-Training Formula for Bigger, Better Workouts*"
Signature 100% Whey Protein,https://shopee.com.my/search?keyword=Signature%20100%%20Whey%20Protein,8.8,49.99,protein,25g of Muscle-Building Whey Protein*
EVL TEST,https://shopee.com.my/search?keyword=EVL%20TEST,9,34.99,vitamin,Science Based Natural Testosterone Support Complex*!
BCAA Lean Energy,https://shopee.com.my/search?keyword=BCAA%20Lean%20Energy,9.6,24.99,BCAA,BCAAs + Energy + Weight Management*
NITRO-TECH 100% Whey Gold,https://shopee.com.my/search?keyword=NITRO-TECH%20100%%20Whey%20Gold,9,56.99,protein,Each Scoop Serves Up 24G Of Ultra-Premium Micro-Filtered Protein
Signature BCAA,https://shopee.com.my/search?keyword=Signature%20BCAA,8.7,17.99,protein,Fuel and Recovery Powerhouse*
Creatine Monohydrate,https://shopee.com.my/search?keyword=Creatine%20Monohydrate,9.7,14.97,creatine,5G Of Pharmaceutical Grade Micronized Creatine To Support Growth*
Signature Pre Workout,https://shopee.com.my/search?keyword=Signature%20Pre%20Workout,8,27.99,preworkout,Energizes and Delays the Onset of Muscle Fatigue*
Prime-T,https://shopee.com.my/search?keyword=Prime-T,9.3,34.97,vitamin,Scientifically Formulated Testosterone Support*
Alpha JYM,https://shopee.com.my/search?keyword=Alpha%20JYM,8.4,34.87,vitamin,Helps Support a Healthy Testosterone and Estrogen Balance*
PumpMode,https://shopee.com.my/search?keyword=PumpMode,9,19.99,preworkout,Non-Stimulant Pump Accelerator
ZMA JYM,https://shopee.com.my/search?keyword=ZMA%20JYM,9.1,18.38,protein,Zinc And Magnesium Capsule To Help Maintain Optimal Hormone Levels*
C4 Original,https://shopee.com.my/search?keyword=C4%20Original,8.7,29.99,preworkout,An Advanced Pre-Workout Formulated for Anyone Seeking Increased Energy and Focus*
In-Kaged,https://shopee.com.my/search?keyword=In-Kaged,9.6,21.19,BCAA,Intra-Workout Fuel to Help Improve Endurance and Enhance Your Toughest Workouts*
Stacked Protein,https://shopee.com.my/search?keyword=Stacked%20Protein,9.2,29.99,protein,"25 Gram Protein Complex With Milkshake Taste, With 5g BCAAs and 5g Glutamine To Fuel Your Results!*"
Platinum Hydrowhey,https://shopee.com.my/search?keyword=Platinum%20Hydrowhey,9.4,52.8,protein,Hydrolyzed Whey Protein Powder to Build Muscle*
Pro Gainer,https://shopee.com.my/search?keyword=Pro%20Gainer,9.3,69.69,protein,Whey Protein Powder for Serious Muscle Gain*
AMINOx,https://shopee.com.my/search?keyword=AMINOx,9.2,15.99,BCAA,BCAA Recovery Powder Designed to Offset Muscle Breakdown and Increase Muscular Endurance*
NeuroCore Pre-Workout,https://shopee.com.my/search?keyword=NeuroCore%20Pre-Workout,9.4,20.99,preworkout,Ultra-Intense Energy And Focus*
Post JYM Carb,https://shopee.com.my/search?keyword=Post%20JYM%20Carb,9.4,13.59,BCAA,Dextrose Powder to Replenish Muscle Glycogen Stores*
Serious Mass,https://shopee.com.my/search?keyword=Serious%20Mass,8.5,47.98,protein,Protein Powder Weight Gainer*
Quest Bars,https://shopee.com.my/search?keyword=Quest%20Bars,9.3,29.99,protein,"Clean, Gluten Free Bar with High Quality Protein and No Added Sugar*"
Combat Crunch Bars,https://shopee.com.my/search?keyword=Combat%20Crunch%20Bars,8.8,17.49,protein,Gluten Free Multi-Layered Baked Bar with 20G of Protein
Gold Standard 100% Casein,https://shopee.com.my/search?keyword=Gold%20Standard%20100%%20Casein,8.8,53.94,protein,Nighttime Use Protein Powder for Building Muscle*
C4 Ripped,https://shopee.com.my/search?keyword=C4%20Ripped,9,39.99,preworkout,Explosive Energy and Cutting Formula*
Re-Kaged,https://shopee.com.my/search?keyword=Re-Kaged,9.3,37.97,protein,Whey Protein Isolate Powder to Support Muscle Growth*
Amino Build Next Gen,https://shopee.com.my/search?keyword=Amino%20Build%20Next%20Gen,9.6,17.49,BCAA,Clinically Dosed Performance Enhancing BCAA Formula With Betaine
Glutamine5000,https://shopee.com.my/search?keyword=Glutamine5000,9.6,15.99,BCAA,5000Mg Of L-Glutamine To Support Optimal Levels During And Post Workout*
C-HCl,https://shopee.com.my/search?keyword=C-HCl,9.5,19.99,creatine,750mg Of Patented Creatine Hydrochloride With Uncompromised Quality and Purity
Zero/Low Carb Isopure,https://shopee.com.my/search?keyword=Zero/Low%20Carb%20Isopure,8.6,42.49,protein,Zero Carb Isopure!
N.O.-Xplode,https://shopee.com.my/search?keyword=N.O.-Xplode,8,29.99,preworkout,The Original Pre-Workout Igniter. Re-Engineered
Signature Testosterone Booster,https://shopee.com.my/search?keyword=Signature%20Testosterone%20Booster,9.2,19.99,vitamin,Natural Testosterone Support*
L-Arginine 1500,https://shopee.com.my/search?keyword=L-Arginine%201500,9.9,11.99,protein,Contains 1500mg of L-Arginine HCl to support muscle blood flow & protein synthesis*
Carb Killa,https://shopee.com.my/search?keyword=Carb%20Killa,9.2,33.14,protein,Triple-Layered Deliciously Crunchy Low-Carb Protein Bar!
Pump Boost,https://shopee.com.my/search?keyword=Pump%20Boost,9.3,19.97,preworkout,Promotes Elevated Muscle Pumps and Training Endurance*
LeanBCAA,https://shopee.com.my/search?keyword=LeanBCAA,9.3,19.99,BCAA,BCAA Powder
100% Isolate,https://shopee.com.my/search?keyword=100%%20Isolate,9.4,7.99,protein,Great tasting Ultra-Pure Whey Protein Isolate to Support Muscle Growth and Recovery*
Signature ZMA,https://shopee.com.my/search?keyword=Signature%20ZMA,8.2,12.99,vitamin,Supports Muscle Recovery*
MicroPure Whey Protein Isolate,https://shopee.com.my/search?keyword=MicroPure%20Whey%20Protein%20Isolate,9.6,47.99,protein,"Gluten-free, No Artificial Colors, Naturally Flavored, and Third-Party Tested"
Caffeine,https://shopee.com.my/search?keyword=Caffeine,9.1,4.4,preworkout,Caffeine Tablet for Increased Energy*
Animal Whey,https://shopee.com.my/search?keyword=Animal%20Whey,9.1,46.95,protein,Formulated with Whey Protein Isolate to Supplement the Extreme Protein Requirements of Hardcore Lifters*
Micronized Creatine Powder,https://shopee.com.my/search?keyword=Micronized%20Creatine%20Powder,9.1,15.37,creatine,99.9% Pure Unflavored Creatine with No Fillers or Additives to Support Strength and Power*
True-Mass,https://shopee.com.my/search?keyword=True-Mass,9.1,43.7,protein,Ultra Premium Muscle Mass Gainer*
Mr. Hyde NitroX,https://shopee.com.my/search?keyword=Mr.%20Hyde%20NitroX,8.7,31.49,preworkout,Pre-Workout Amplifier*
Gold Standard Pre-Workout,https://shopee.com.my/search?keyword=Gold%20Standard%20Pre-Workout,8.3,19.99,preworkout,A Pre-Workout Worthy of the Gold Standard Name
UMP,https://shopee.com.my/search?keyword=UMP,9.5,40.4,protein,Ultra-Premium Protein Powder
C4 Ultimate,https://shopee.com.my/search?keyword=C4%20Ultimate,9.3,39.99,preworkout,The Ultimate Pre-Workout Experience
Combat Powder,https://shopee.com.my/search?keyword=Combat%20Powder,9.2,31.48,protein,Protein Powder Blend for Muscle Growth*
Zero Carb Isopure Drink,https://shopee.com.my/search?keyword=Zero%20Carb%20Isopure%20Drink,9,3.99,protein,Ready-to-Drink!
Elite Casein,https://shopee.com.my/search?keyword=Elite%20Casein,8.7,48.76,protein,"25g of Protein to Continuously Feeds Muscles, Even When You Can’t*"
COR-Performance Whey,https://shopee.com.my/search?keyword=COR-Performance%20Whey,9,49.99,protein,Great Tasting Protein with Minimal Fat and Carbs and Added Digestive Enzymes*
Animal Fury,https://shopee.com.my/search?keyword=Animal%20Fury,8.7,29.99,preworkout,"Potent, Powerful Pre-Workout Formula"
Signature Casein,https://shopee.com.my/search?keyword=Signature%20Casein,8.8,49.99,protein,25g of Slow-Release Micellar Casein
Xtend Pro,https://shopee.com.my/search?keyword=Xtend%20Pro,9.8,49.99,protein,Features 25g of pure whey protein isolate per serving to support muscle growth & recovery*
Vapor X5 Ripped,https://shopee.com.my/search?keyword=Vapor%20X5%20Ripped,9.6,29.99,preworkout,The Ultimate Pre-Workout Plus Weight Loss Support*
Wreckage,https://shopee.com.my/search?keyword=Wreckage,9.7,27.99,preworkout,Cutting Edge Pre-Workout Powder For Supporting Focus And Energy*
Elite 100% Whey Protein,https://shopee.com.my/search?keyword=Elite%20100%%20Whey%20Protein,8.7,54.99,protein,100% Whey Protein Concentrate and Whey Protein Isolate
Signature Amino Plus Energy,https://shopee.com.my/search?keyword=Signature%20Amino%20Plus%20Energy,8,17.99,BCAA,"Amino Acids and Caffeine for Energy, Focus, and Recovery*"
The Complete Cookie,https://shopee.com.my/search?keyword=The%20Complete%20Cookie,9,29.99,protein,Vegan Protein Cookie with 16g of Protein for a Delicious Way to Build Muscle*
Creactor,https://shopee.com.my/search?keyword=Creactor,8.9,17.45,creatine,"750mg of Free-Acid Creatine, Designed to Boost Size, Strength, and Recovery With No Bloating*"
Alpha Amino,https://shopee.com.my/search?keyword=Alpha%20Amino,9.2,19.99,BCAA,"Post Workout, Recovery Performance Amino Powder*"
The Curse!,https://shopee.com.my/search?keyword=The%20Curse!,8.4,30.3,preworkout,Pre-Workout Powder for Insane Energy*
TrueFit Grass-Fed Protein,https://shopee.com.my/search?keyword=TrueFit%20Grass-Fed%20Protein,9.7,31.99,protein,Lean Protein from Real Food Sources
Lipo-6 Black Ultra Concentrate,https://shopee.com.my/search?keyword=Lipo-6%20Black%20Ultra%20Concentrate,7.8,27.53,preworkout,"Ultra Concentrated, Powerful, All-Out Fat Burning Formula*"
Signature 100% Whey Isolate,https://shopee.com.my/search?keyword=Signature%20100%%20Whey%20Isolate,9.6,69.99,protein,Hydrolyzed Whey Protein Isolate
Xtend Ripped,https://shopee.com.my/search?keyword=Xtend%20Ripped,8.7,30.39,BCAA,7G BCAAs Formulated To Support Hydration And Cutting*
Protein Energy,https://shopee.com.my/search?keyword=Protein%20Energy,9.3,18.98,protein,Premium Whey Protein with Caffeine from Natural Sources*
Animal Pump,https://shopee.com.my/search?keyword=Animal%20Pump,8.9,34.99,preworkout,The Pre-Workout Muscle Volumizing Vitamin Stack*
Raw IGF-1,https://shopee.com.my/search?keyword=Raw%20IGF-1,9.4,36.74,vitamin,Muscle Building Capsule To Help You Grow
Creatine 5000,https://shopee.com.my/search?keyword=Creatine%205000,9.5,13.99,creatine,Maximize Your Results With The Perfect Creatine Combination*
Her Whey,https://shopee.com.my/search?keyword=Her%20Whey,9,40.92,protein,The Ultimate Lean Protein!
Xtend Energy,https://shopee.com.my/search?keyword=Xtend%20Energy,10,23.99,BCAA,7g of BCAAs in clinically supported 2:1:1 ratio to support workout recovery and muscle growth*
Veggie Elite,https://shopee.com.my/search?keyword=Veggie%20Elite,8.9,34.39,protein,Performance Protein!*
NITRO-TECH Casein Gold,https://shopee.com.my/search?keyword=NITRO-TECH%20Casein%20Gold,8.5,37.79,protein,Micellar Casein Protein For Supporting Muscle Growth
BCAA,https://shopee.com.my/search?keyword=BCAA,9,12.89,BCAA,Amino Acid Capsule or Powder for Muscle Development*
BCAA 2:1:1 Powder,https://shopee.com.my/search?keyword=BCAA%202:1:1%20Powder,9.2,23.19,BCAA,BCAA Powder To Support Muscle Recovery And Growth*
MASS-TECH,https://shopee.com.my/search?keyword=MASS-TECH,8.2,31.35,protein,Advanced Muscle Mass Gainer!
DyNO,https://shopee.com.my/search?keyword=DyNO,8.8,24.97,preworkout,The Most Comprehensive Pre-Workout. PERIOD.
Uplift,https://shopee.com.my/search?keyword=Uplift,8.6,29.38,preworkout,Pre-Workout Energy!*
